,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country,class_rank
659,838,4 (5K-10K),mitsubishi,2014,159730,71.0,hatchback,wit,benzine,Handgeschakeld,5.0,3.0,999.0,820.0,13.6,172.0,5.0,259.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mitsubishi,wit,White,4 (5K-10K),7500.0,mitsubishi,Japan,4
660,841,5 (10K-15K),kia,2013,47882,86.0,hatchback,grijs,benzine,Handgeschakeld,5.0,4.0,1248.0,1004.0,13.0,168.0,5.0,9.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kia,grijs,Gray,,,kia,South Korea,5
661,842,1 (< 1K),palmo,2008,10014,11.0,,,benzine,,,1.0,150.0,149.0,,,,1.0,,0,1,1,0,1,1,0,0,0,1,1,1,0,1,,,,1 (< 1K),500.0,,,1
662,843,6 (> 15K),audi,2013,55047,313.0,,bruin,diesel,Automaat,,6.0,2967.0,1885.0,5.6,250.0,5.0,80.0,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,audi,bruin,Brown,6 (> 15K),,audi,Germany,6
663,845,6 (> 15K),lamborghini,2002,15865,581.0,coupe,geel,benzine,Handgeschakeld,2.0,1.0,6192.0,1715.0,3.8,330.0,2.0,246.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lamborghini,geel,Yellow,6 (> 15K),,lamborghini,Italy,6
664,846,5 (10K-15K),peugeot,2013,94250,82.0,terreinwagen,grijs,benzine,Handgeschakeld,5.0,3.0,1199.0,1020.0,13.5,169.0,5.0,18.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugeot,grijs,Gray,,,peugeot,France,5
665,847,3 (2K-5K),ford,2006,153583,116.0,mpv,grijs,diesel,Handgeschakeld,5.0,4.0,1753.0,1365.0,11.0,188.0,5.0,47.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ford,grijs,Gray,3 (2K-5K),2500.0,ford,United States,3
666,848,6 (> 15K),mercedes-benz,2013,62993,252.0,sedan,blauw,diesel,Automaat,4.0,6.0,2987.0,1785.0,7.0,250.0,5.0,53.0,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz,blauw,Blue,6 (> 15K),,mercedes-benz,Germany,6
667,849,3 (2K-5K),honda,2007,212943,95.0,sedan,grijs,,,4.0,4.0,1339.0,1268.0,,,,13.0,,0,0,0,1,1,0,0,0,0,1,1,1,0,1,honda,grijs,Gray,3 (2K-5K),2500.0,honda,Japan,3
668,850,3 (2K-5K),opel,2007,118278,80.0,hatchback,grijs,benzine,Handgeschakeld,5.0,4.0,1229.0,1030.0,15.0,168.0,,1.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,opel,grijs,Gray,3 (2K-5K),2500.0,opel,Germany,3
669,851,2 (1K-2K),opel,2000,154323,75.0,hatchback,grijs,benzine,Handgeschakeld,4.0,4.0,1598.0,1063.0,14.5,170.0,5.0,77.0,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,grijs,Gray,2 (1K-2K),1500.0,opel,Germany,2
670,852,6 (> 15K),bmw,1996,130751,286.0,coupe,grijs,benzine,Handgeschakeld,2.0,8.0,3982.0,1795.0,,,4.0,1.0,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,bmw,grijs,Gray,6 (> 15K),,bmw,Germany,6
