,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country
64,75,3 (2K-5K),peugeot,2006,63339,68,hatchback,zwart,benzine,Handgeschakeld,2,3,998,765,99.9,157,4,13,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugeot,zwart,Black,3 (2K-5K),2500.0,peugeot,France
65,76,3 (2K-5K),opel,2005,292181,155,sedan,blauw,benzine,Automaat,4,4,2198,1365,11.0,212,5,108,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,blauw,Blue,3 (2K-5K),2500.0,opel,Germany
66,77,4 (5K-10K),cadillac,2010,240144,,sedan,zwart,diesel,Automaat,4,,,,,,,87,Euro4,1,0,0,0,0,0,1,1,1,1,1,1,0,0,cadillac,zwart,Black,4 (5K-10K),7500.0,cadillac,United States
67,79,4 (5K-10K),daihatsu,2008,151123,105,,grijs,lpg g3,Handgeschakeld,,4,1495,1147,12.0,160,5,80,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,daihatsu,grijs,Gray,4 (5K-10K),7500.0,daihatsu,Japan
68,81,3 (2K-5K),citroen,2007,67941,68,hatchback,grijs,benzine,Handgeschakeld,5,3,998,780,13.7,157,4,13,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,citroen,grijs,Gray,3 (2K-5K),2500.0,citroen,France
69,82,3 (2K-5K),toyota,1998,164000,108,hatchback,blauw,benzine,Automaat,5,4,1587,1105,12.6,175,,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,toyota,blauw,Blue,3 (2K-5K),2500.0,toyota,Japan
70,83,4 (5K-10K),ford,2009,101155,101,mpv,grijs,benzine,Handgeschakeld,5,4,1596,1234,12.9,175,5,68,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ford,grijs,Gray,4 (5K-10K),7500.0,ford,United States
71,84,3 (2K-5K),fiat,2008,51220,78,mpv,grijs,benzine,Handgeschakeld,2,4,1368,,,165,4,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,fiat,grijs,Gray,3 (2K-5K),2500.0,fiat,Italy
72,86,1 (< 1K),peugeot,2001,349049,108,hatchback,blauw,benzine,Handgeschakeld,3,4,1587,1030,,,,65,Euro3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,peugeot,blauw,Blue,1 (< 1K),500.0,peugeot,France
73,87,4 (5K-10K),volvo,2009,112622,136,sedan,blauw,diesel,Handgeschakeld,4,4,1997,1495,11.0,200,5,55,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volvo,blauw,Blue,4 (5K-10K),7500.0,volvo,South Korea
